SeasonType,Season,Week,Date,Team,Opponent,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,HomeOrAway,TeamID,OpponentID,ScoreID
2,2021,0,8/5/2021 8:00:00 PM,DAL,PIT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,48,AWAY,9,28,17660
2,2021,0,8/5/2021 8:00:00 PM,PIT,DAL,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,28,HOME,28,9,17660
2,2021,1,8/12/2021 7:30:00 PM,NE,WAS,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,21,HOME,21,35,17661
2,2021,1,8/12/2021 7:30:00 PM,WAS,NE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,97,AWAY,35,21,17661
2,2021,1,8/12/2021 7:30:00 PM,PHI,PIT,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,26,HOME,26,28,17662
2,2021,1,8/12/2021 7:30:00 PM,PIT,PHI,3.00,0.00,4.00,25.00,3.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,5.00,0.00,0,17.00,3.00,0.00,19.00,19.00,28,AWAY,28,26,17662
2,2021,1,8/13/2021 7:00:00 PM,ATL,TEN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,2,HOME,2,34,17663
2,2021,1,8/13/2021 7:00:00 PM,TEN,ATL,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,34,AWAY,34,2,17663
2,2021,1,8/13/2021 7:00:00 PM,BUF,DET,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,37,AWAY,4,11,17958
2,2021,1,8/13/2021 7:00:00 PM,DET,BUF,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,11,HOME,11,4,17958
2,2021,1,8/13/2021 10:00:00 PM,ARI,DAL,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,1,HOME,1,9,17968
2,2021,1,8/13/2021 10:00:00 PM,DAL,ARI,16.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,0.00,0,4.00,16.00,0.00,4.00,4.00,48,AWAY,9,1,17968
2,2021,1,8/14/2021 1:00:00 PM,CHI,MIA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,38,HOME,6,19,17664
2,2021,1,8/14/2021 1:00:00 PM,MIA,CHI,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,64,AWAY,19,6,17664
2,2021,1,8/14/2021 4:00:00 PM,DEN,MIN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,49,AWAY,10,20,17970
2,2021,1,8/14/2021 4:00:00 PM,MIN,DEN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,67,HOME,20,10,17970
2,2021,1,8/14/2021 7:00:00 PM,BAL,NO,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,36,HOME,3,22,17955
2,2021,1,8/14/2021 7:00:00 PM,NO,BAL,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,69,AWAY,22,3,17955
2,2021,1,8/14/2021 7:00:00 PM,CLE,JAX,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,8,AWAY,8,15,17965
2,2021,1,8/14/2021 7:00:00 PM,JAX,CLE,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,52,HOME,15,8,17965
2,2021,1,8/14/2021 7:30:00 PM,CIN,TB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,7,AWAY,7,33,17665
2,2021,1,8/14/2021 7:30:00 PM,TB,CIN,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,95,HOME,33,7,17665
2,2021,1,8/14/2021 7:30:00 PM,NYG,NYJ,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,75,HOME,23,24,17979
2,2021,1,8/14/2021 7:30:00 PM,NYJ,NYG,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,82,AWAY,24,23,17979
2,2021,1,8/14/2021 8:00:00 PM,GB,HOU,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,12,HOME,12,13,17666
2,2021,1,8/14/2021 8:00:00 PM,HOU,GB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,13,AWAY,13,12,17666
2,2021,1,8/14/2021 8:30:00 PM,KC,SF,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,55,AWAY,16,31,17960
2,2021,1,8/14/2021 8:30:00 PM,SF,KC,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,93,HOME,31,16,17960
2,2021,1,8/14/2021 9:00:00 PM,LV,SEA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,83,HOME,25,30,17971
2,2021,1,8/14/2021 9:00:00 PM,SEA,LV,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,90,AWAY,30,25,17971
2,2021,1,8/14/2021 10:00:00 PM,LAC,LAR,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,84,AWAY,29,32,17961
2,2021,1,8/14/2021 10:00:00 PM,LAR,LAC,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,32,HOME,32,29,17961
2,2021,1,8/15/2021 1:00:00 PM,CAR,IND,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,5,AWAY,5,14,17972
2,2021,1,8/15/2021 1:00:00 PM,IND,CAR,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,,0.00,0.00,0.00,14,HOME,14,5,17972
2,2021,2,8/19/2021 7:30:00 PM,NE,PHI,13.00,0.00,2.00,7.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0,8.00,13.00,0.00,8.00,8.00,21,AWAY,21,26,17667
2,2021,2,8/19/2021 7:30:00 PM,PHI,NE,24.00,0.00,1.00,10.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,6.00,0.00,0,3.00,24.00,0.00,3.00,3.00,26,HOME,26,21,17667
2,2021,2,8/20/2021 8:00:00 PM,ARI,KC,16.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0,3.00,16.00,0.00,3.00,3.00,1,HOME,1,16,17668
2,2021,2,8/20/2021 8:00:00 PM,KC,ARI,16.00,0.00,5.00,39.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,4.00,0.00,0,10.00,16.00,0.00,10.00,10.00,55,AWAY,16,1,17668
2,2021,2,8/20/2021 8:00:00 PM,CIN,WAS,14.00,0.00,4.00,25.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,3.00,0.00,0,14.00,8.00,0.00,14.00,14.00,7,AWAY,7,35,17957
2,2021,2,8/20/2021 8:00:00 PM,WAS,CIN,22.00,0.00,1.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0,1.00,22.00,0.00,1.00,1.00,97,HOME,35,7,17957
2,2021,2,8/21/2021 1:00:00 PM,BUF,CHI,15.00,0.00,4.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,7.00,0.00,0,5.00,15.00,0.00,5.00,5.00,37,AWAY,4,6,17669
2,2021,2,8/21/2021 1:00:00 PM,CHI,BUF,13.00,0.00,3.00,9.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,7.00,0.00,0,13.00,13.00,0.00,13.00,13.00,38,HOME,6,4,17669
2,2021,2,8/21/2021 4:25:00 PM,GB,NYJ,26.00,0.00,1.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0,3.00,26.00,0.00,3.00,3.00,12,HOME,12,24,17670
2,2021,2,8/21/2021 4:25:00 PM,NYJ,GB,7.00,0.00,5.00,34.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,10.00,4.00,0.00,0,13.00,7.00,0.00,13.00,13.00,82,AWAY,24,12,17670
2,2021,2,8/21/2021 7:00:00 PM,ATL,MIA,23.00,0.00,4.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,6.00,0.00,0,4.00,23.00,0.00,4.00,4.00,2,AWAY,2,19,17671
2,2021,2,8/21/2021 7:00:00 PM,MIA,ATL,20.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0,1.00,20.00,0.00,1.00,1.00,64,HOME,19,2,17671
2,2021,2,8/21/2021 7:00:00 PM,BAL,CAR,14.00,0.00,3.00,31.00,3.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,2.00,0.00,0,16.00,14.00,0.00,16.00,16.00,36,AWAY,3,5,17956
2,2021,2,8/21/2021 7:00:00 PM,CAR,BAL,21.00,0.00,3.00,28.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,8.00,0.00,0,9.00,21.00,0.00,9.00,9.00,5,HOME,5,3,17956
2,2021,2,8/21/2021 7:30:00 PM,DET,PIT,16.00,0.00,2.00,20.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0,5.00,16.00,0.00,5.00,5.00,11,AWAY,11,28,17672
