SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
5,2021,AFC,35.00,2.00,3.00,17.00,1.00,1.00,1.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1,2.00,5.00,2.00,0,24.00,29.00,,,0.00,24.00,24.00,104,,,36
3,2021,ARI,34.00,0.00,1.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,3.00,7.00,0.00,0,0.00,28.00,,,0.00,0.00,0.00,1,,,1
1,2021,ARI,366.00,2.00,41.00,227.00,21.00,15.00,1.00,13.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,17,100.00,76.00,2.00,0,126.00,356.00,,,0.00,126.00,126.00,1,,,1
2,2021,ARI,33.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2.00,4.00,0.00,0,8.00,33.00,,,0.00,8.00,8.00,1,,,1
2,2021,ATL,79.00,0.00,5.00,35.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,13.00,9.00,0.00,0,8.00,77.00,,,0.00,8.00,8.00,2,,,2
1,2021,ATL,459.00,2.00,18.00,152.00,14.00,8.00,0.00,12.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,17,58.00,58.00,2.00,0,62.00,439.00,,,0.00,64.00,64.00,2,,,2
1,2021,BAL,392.00,1.00,34.00,244.00,8.00,6.00,0.00,9.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,17,96.00,76.00,1.00,0,83.00,374.00,,,0.00,85.00,85.00,36,,,3
2,2021,BAL,20.00,0.00,5.00,43.00,4.00,3.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3,15.00,7.00,0.00,0,32.00,20.00,,,0.00,34.00,34.00,36,,,3
2,2021,BUF,30.00,1.00,10.00,59.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3,24.00,16.00,0.00,1,34.00,30.00,,,0.00,34.00,34.00,37,,,4
3,2021,BUF,59.00,0.00,5.00,24.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,9.00,8.00,0.00,0,6.00,59.00,,,0.00,6.00,6.00,37,,,4
1,2021,BUF,289.00,1.00,42.00,276.00,12.00,11.00,0.00,19.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,17,91.00,90.00,1.00,0,148.00,289.00,,,0.00,150.00,150.00,37,,,4
1,2021,CAR,404.00,1.00,39.00,293.00,14.00,8.00,0.00,9.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,17,94.00,83.00,0.00,1,88.00,390.00,,,0.00,90.00,90.00,5,,,5
2,2021,CAR,50.00,0.00,4.00,34.00,3.00,4.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,13.00,15.00,0.00,0,23.00,50.00,,,0.00,23.00,23.00,5,,,5
2,2021,CHI,78.00,1.00,8.00,29.00,2.00,4.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3,21.00,16.00,1.00,0,28.00,78.00,,,0.00,28.00,28.00,38,,,6
1,2021,CHI,407.00,3.00,49.00,366.00,14.00,9.00,1.00,8.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,17,83.00,77.00,2.00,1,107.00,395.00,,,0.00,107.00,107.00,38,,,6
1,2021,CIN,376.00,2.00,42.00,276.00,17.00,8.00,1.00,13.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,17,99.00,80.00,2.00,0,108.00,358.00,,,0.00,108.00,108.00,7,,,7
2,2021,CIN,60.00,0.00,9.00,54.00,1.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,22.00,12.00,0.00,0,23.00,54.00,,,0.00,23.00,23.00,7,,,7
3,2021,CIN,82.00,0.00,10.00,87.00,2.00,1.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,18.00,19.00,0.00,0,30.00,82.00,,,0.00,30.00,30.00,7,,,7
2,2021,CLE,36.00,0.00,10.00,46.00,3.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,14.00,15.00,0.00,0,30.00,36.00,,,0.00,30.00,30.00,8,,,8
1,2021,CLE,371.00,2.00,43.00,273.00,12.00,7.00,1.00,13.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,17,101.00,76.00,2.00,0,106.00,365.00,,,0.00,106.00,106.00,8,,,8
1,2021,DAL,358.00,9.00,41.00,297.00,13.00,9.00,1.00,26.00,5.00,4.00,0.00,0.00,1.00,2.00,0.00,17,114.00,72.00,6.00,3,182.00,340.00,,,0.00,190.00,190.00,48,,,9
