SeasonType,Season,Team,PointsAllowed,TouchdownsScored,Sacks,SackYards,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,BlockedKicks,Safeties,PuntReturnTouchdowns,KickReturnTouchdowns,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Games,QuarterbackHits,TacklesForLoss,DefensiveTouchdowns,SpecialTeamsTouchdowns,FantasyPoints,PointsAllowedByDefenseSpecialTeams,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FantasyPointsDraftKings,PlayerID,AverageDraftPosition,AverageDraftPositionPPR,TeamID
1,2021,ARI,367.00,2.00,43.60,326.00,14.00,12.10,0.90,12.10,1.10,2.00,1.00,0.00,0.00,0.00,0.00,17,105.00,103.00,2.00,0,83.00,345.00,1,1,0.00,83.00,83.00,1,156.30,191.60,1
1,2021,ATL,414.00,1.80,34.50,221.00,14.00,11.10,0.80,12.80,1.00,0.00,0.00,0.00,0.00,0.00,0.00,17,92.00,82.00,1.80,0,79.00,414.00,0,0,0.00,79.00,79.00,2,191.00,170.70,2
1,2021,BAL,303.00,3.40,39.50,272.00,25.00,13.70,1.10,13.20,1.30,0.00,2.00,0.45,0.45,0.00,0.00,17,119.00,87.50,2.40,1,108.00,291.00,1,1,0.00,108.00,108.00,36,125.40,130.00,3
1,2021,BUF,375.00,3.40,39.90,220.00,15.00,12.20,1.10,14.40,1.30,0.00,0.00,0.56,0.56,0.00,0.00,17,96.00,96.50,2.40,1,98.00,375.00,1,1,0.00,98.00,98.00,37,136.30,150.80,4
1,2021,CAR,402.00,1.80,37.00,199.00,14.00,12.30,0.80,12.30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,17,91.00,72.00,1.80,0,85.00,402.00,0,0,0.00,85.00,85.00,5,164.10,168.70,5
1,2021,CHI,370.00,2.90,37.60,234.00,15.00,12.10,0.80,12.50,1.10,1.00,1.00,0.57,0.57,0.00,0.00,17,91.00,78.50,1.90,1,92.00,358.00,0,0,0.00,92.00,92.00,38,156.70,173.00,6
1,2021,CIN,424.00,2.60,31.50,83.00,10.00,10.10,0.70,12.40,0.90,0.00,0.00,0.47,0.47,0.00,0.00,17,72.00,54.00,1.60,1,82.00,412.00,0,0,0.00,82.00,82.00,7,188.00,182.00,7
1,2021,CLE,419.00,2.40,40.00,262.00,16.00,12.80,1.00,13.80,1.40,1.00,2.00,0.00,0.00,0.00,0.00,17,79.00,78.50,2.40,0,89.00,405.00,1,1,0.00,89.00,89.00,8,157.90,165.60,8
1,2021,DAL,473.00,2.70,36.90,178.00,17.00,12.10,0.80,12.30,0.90,0.00,0.00,0.48,0.48,0.00,0.00,17,79.00,69.50,1.70,1,86.00,449.00,0,0,0.00,86.00,86.00,48,139.50,157.00,9
1,2021,DEN,446.00,3.20,42.10,282.00,12.00,12.10,1.00,12.90,1.20,1.00,0.00,0.59,0.59,0.00,0.00,17,96.00,76.00,2.20,1,93.00,424.00,1,1,0.00,93.00,93.00,49,154.20,145.80,10
1,2021,DET,519.00,2.60,33.20,195.00,15.00,10.30,0.70,10.40,0.90,2.00,1.00,0.49,0.49,0.00,0.00,17,60.00,75.00,1.60,1,84.00,501.00,0,0,0.00,84.00,84.00,11,186.00,180.00,11
1,2021,GB,369.00,2.00,40.20,254.00,12.00,11.30,0.70,13.80,1.30,0.00,1.00,0.00,0.00,0.00,0.00,17,82.00,72.50,2.00,0,92.00,363.00,1,1,0.00,92.00,92.00,12,168.00,170.20,12
1,2021,HOU,464.00,1.60,33.50,221.00,9.00,9.80,0.70,9.70,0.90,2.00,0.00,0.00,0.00,0.00,0.00,17,79.00,77.00,1.60,0,83.00,454.00,0,0,0.00,83.00,83.00,13,187.00,181.00,13
1,2021,IND,362.00,4.50,41.20,261.00,14.00,12.90,1.20,13.30,1.30,1.00,3.00,1.21,1.21,0.00,0.00,17,81.00,87.50,2.50,2,103.00,348.00,1,1,0.00,103.00,103.00,14,144.40,139.20,14
1,2021,JAX,492.00,3.80,32.20,91.00,12.00,9.70,0.80,11.80,1.00,1.00,0.00,1.02,1.02,0.00,0.00,17,77.00,66.00,1.80,2,88.00,488.00,0,0,0.00,88.00,88.00,52,182.00,174.40,15
1,2021,KC,362.00,4.30,38.70,189.00,12.00,12.10,1.00,13.90,1.30,1.00,2.00,0.83,0.83,0.00,0.00,17,100.00,57.50,2.30,2,106.00,360.00,1,0,0.00,106.00,106.00,55,149.80,173.20,16
1,2021,LAC,426.00,2.00,38.30,137.00,6.00,11.00,0.90,13.20,1.10,0.00,1.00,0.00,0.00,0.00,0.00,17,88.00,63.00,2.00,0,90.00,424.00,0,0,0.00,90.00,90.00,84,167.20,195.60,29
1,2021,LAR,296.00,2.50,45.70,350.00,11.00,13.50,1.20,13.60,1.30,1.00,1.00,0.00,0.00,0.00,0.00,17,104.00,80.50,2.50,0,102.00,278.00,1,1,0.00,102.00,102.00,32,105.30,109.60,32
1,2021,LV,478.00,1.60,32.90,129.00,8.00,9.90,0.70,12.00,0.90,1.00,0.00,0.00,0.00,0.00,0.00,17,76.00,71.50,1.60,0,82.00,460.00,0,0,0.00,82.00,82.00,83,189.00,183.00,25
1,2021,MIA,338.00,3.00,39.70,349.00,17.00,12.10,0.80,14.30,1.20,1.00,0.00,0.53,0.53,0.00,0.00,17,99.00,87.50,2.00,1,83.00,330.00,0,0,0.00,83.00,83.00,64,163.40,166.20,19
1,2021,MIN,475.00,1.90,36.60,126.00,11.00,11.50,0.80,13.60,1.10,1.00,1.00,0.00,0.00,0.00,0.00,17,70.00,62.50,1.90,0,92.00,453.00,0,0,0.00,92.00,92.00,67,172.30,192.40,20
1,2021,NE,353.00,4.40,38.80,165.00,5.00,11.70,1.10,14.90,1.30,1.00,0.00,1.07,1.07,0.00,0.00,17,68.00,58.50,2.40,2,104.00,341.00,0,0,0.00,104.00,104.00,21,139.00,142.70,21
1,2021,NO,337.00,2.10,41.30,287.00,7.00,11.30,1.00,14.10,1.10,1.00,0.00,0.00,0.00,0.00,0.00,17,113.00,97.50,2.10,0,106.00,335.00,1,1,0.00,106.00,106.00,69,155.50,189.70,22
1,2021,NYG,357.00,2.10,38.30,322.00,11.00,11.40,1.00,13.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,17,107.00,89.00,2.10,0,81.00,349.00,0,0,0.00,81.00,81.00,75,133.50,190.60,23
1,2021,NYJ,457.00,1.60,35.80,186.00,16.00,10.90,0.70,11.70,0.90,2.00,1.00,0.00,0.00,0.00,0.00,17,87.00,96.50,1.60,0,89.00,437.00,0,0,0.00,89.00,89.00,82,181.00,178.00,24
1,2021,PHI,418.00,2.80,39.90,324.00,15.00,10.80,0.80,12.10,1.00,1.00,1.00,0.46,0.46,0.00,0.00,17,116.00,114.50,1.80,1,96.00,408.00,1,1,0.00,96.00,96.00,26,179.00,177.00,26
1,2021,PIT,312.00,2.20,45.40,384.00,12.00,13.20,1.00,13.80,1.20,0.00,1.00,0.00,0.00,0.00,0.00,17,140.00,118.00,2.20,0,115.00,306.00,1,1,0.00,115.00,115.00,28,103.90,104.50,28
1,2021,SEA,371.00,2.00,39.60,251.00,14.00,11.20,0.90,13.60,1.10,1.00,3.00,0.00,0.00,0.00,0.00,17,114.00,101.00,2.00,0,93.00,365.00,1,1,0.00,93.00,93.00,90,156.20,151.70,30
