PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
549,1,2021,ARI,5,Matt Prater,K,ST,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.90,29.20,40.40,0.00,0.00,0.00,128.00,K,,41.80,0,0,128.00,0.00,0.00,0.00,0.00,0.00,128.00,155.10,455.00,1
11047,1,2021,ARI,12,Colt McCoy,QB,OFF,17,17,13.80,11.10,114.40,78.6,8.1,10.4,0.50,0.50,100.60,0.00,0.00,0.00,1.80,11.20,5.5,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.70,QB,,0.00,0,0,7.20,0.00,0.00,0.00,0.00,0.00,7.20,528.00,580.00,1
11437,1,2021,ARI,98,Corey Peters,DT,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,7.40,2.60,1.10,7.70,2.30,0.80,0.50,0.30,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.87,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,614.00,649.00,1
12845,1,2021,ARI,18,A.J. Green,WR,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,83.30,54.00,644.50,11.9,4.10,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.25,WR,,0.00,0,0,115.25,0.00,0.00,0.00,0.00,0.00,142.65,154.60,167.00,1
12955,1,2021,ARI,99,J.J. Watt,DE,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.40,21.70,12.90,5.50,38.50,11.60,5.60,1.60,0.80,0.10,1.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,110.80,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,625.00,660.00,1
13749,1,2021,ARI,55,Chandler Jones,OLB,DEF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.20,20.60,25.80,11.00,77.00,23.10,1.40,1.50,0.70,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,140.60,LB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644.00,679.00,1
14096,1,2021,ARI,69,Jack Crawford,DE,DEF,2,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.60,0.20,0.10,0.70,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.27,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1
14922,1,2021,ARI,76,Margus Hunt,DE,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.70,3.40,1.40,0.60,4.20,1.30,1.20,0.50,0.20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.32,DL,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,681.00,716.00,1
14925,1,2021,ARI,36,Shawn Williams,SS,DEF,17,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.50,0.00,0.00,0.00,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.25,DB,,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,682.00,717.00,1
14986,1,2021,ARI,10,DeAndre Hopkins,WR,OFF,17,17,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0.00,0.00,0.00,0.40,2.10,0,0.00,0.00,162.10,114.90,1407.80,12.2,7.40,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.39,WR,,0.00,36,37,240.84,0.00,0.00,0.00,0.00,0.00,299.29,21.30,16.70,1
