QuarterID,ScoreID,Number,Name,AwayTeamScore,HomeTeamScore
7851,17660,1,1,3,0
7852,17660,2,2,0,0
7853,17660,3,3,0,9
7854,17660,4,4,0,7
7855,17661,1,1,0,3
7858,17661,2,2,7,3
7860,17661,3,3,0,3
7862,17661,4,4,6,13
7861,17662,4,4,3,0
7859,17662,3,3,14,0
7856,17662,1,1,0,10
7857,17662,2,2,7,6
7863,17663,1,1,3,0
7866,17663,2,2,10,0
7868,17663,3,3,3,3
7870,17663,4,4,7,0
7869,17958,4,4,3,12
7867,17958,3,3,0,0
7864,17958,1,1,3,3
7865,17958,2,2,10,0
7871,17968,1,1,0,3
7872,17968,2,2,6,7
7873,17968,3,3,3,3
7874,17968,4,4,7,6
7875,17664,1,1,3,0
7876,17664,2,2,10,3
7877,17664,3,3,0,14
7878,17664,4,4,0,3
7879,17970,1,1,9,3
7880,17970,2,2,17,3
7881,17970,3,3,7,0
7882,17970,4,4,0,0
7884,17955,1,1,0,0
7888,17955,2,2,14,9
7895,17955,3,3,0,0
7901,17955,4,4,0,8
7894,17965,3,3,3,0
7898,17965,4,4,7,13
7887,17965,2,2,10,0
7883,17965,1,1,3,0
7886,17979,1,1,3,0
7890,17979,2,2,0,0
7897,17979,3,3,7,0
7904,17979,4,4,2,7
7905,17665,4,4,3,8
7900,17665,3,3,9,0
7891,17665,2,2,7,0
7885,17665,1,1,0,6
7889,17666,1,1,3,0
7893,17666,2,2,10,7
7902,17666,3,3,3,0
7908,17666,4,4,10,0
7907,17960,3,3,3,0
7899,17960,2,2,0,3
7911,17960,4,4,9,7
7892,17960,1,1,7,6
7912,17971,4,4,0,7
7896,17971,1,1,0,7
7903,17971,2,2,0,6
7909,17971,3,3,7,0
7910,17961,2,2,3,6
7906,17961,1,1,3,0
7913,17961,3,3,7,0
7914,17961,4,4,0,0
7915,17972,1,1,3,3
7916,17972,2,2,12,7
7917,17972,3,3,0,0
7918,17972,4,4,3,11
7919,17667,1,1,13,0
7920,17667,2,2,6,0
7921,17667,3,3,13,0
7922,17667,4,4,3,0
7924,17668,1,1,3,0
7925,17668,2,2,7,0
7930,17668,4,4,0,7
7928,17668,3,3,7,3
7929,17957,4,4,3,8
7926,17957,2,2,0,3
7927,17957,3,3,7,3
7923,17957,1,1,3,3
7931,17669,1,1,13,0
7932,17669,2,2,21,6
7933,17669,3,3,7,0
7934,17669,4,4,0,9
7935,17670,1,1,3,7
7936,17670,2,2,14,7
7937,17670,3,3,6,0
7938,17670,4,4,0,0
7939,17956,1,1,0,0
7943,17956,2,2,3,3
7949,17956,3,3,7,0
7954,17956,4,4,10,0
7951,17671,3,3,0,16
7944,17671,2,2,0,7
7956,17671,4,4,14,7
7940,17671,1,1,3,7
7941,17672,1,1,0,14
7957,17672,4,4,20,3
7953,17672,3,3,0,3
7948,17672,2,2,0,6
7947,17673,2,2,6,3
7955,17673,3,3,14,0
7960,17673,4,4,7,0
7942,17673,1,1,7,0
7959,17969,3,3,7,0
7952,17969,2,2,0,7
7946,17969,1,1,7,7
7964,17969,4,4,6,0
7945,17973,1,1,3,7
7950,17973,2,2,3,3
7958,17973,3,3,3,0
7963,17973,4,4,3,0
7962,17962,1,1,7,0
7970,17962,4,4,7,6
7966,17962,2,2,0,10
7968,17962,3,3,3,0
7969,17974,4,4,10,0
7967,17974,3,3,3,3
7965,17974,2,2,10,0
7961,17974,1,1,7,0
7971,17978,1,1,7,7
7972,17978,2,2,0,0
7973,17978,3,3,0,7
7974,17978,4,4,6,3
7975,17963,1,1,0,0
7976,17963,2,2,8,10
7977,17963,3,3,7,0
7978,17963,4,4,0,0
7979,17674,1,1,0,14
7980,17674,2,2,3,3
7981,17674,3,3,0,6
7982,17674,4,4,18,0
7983,17975,1,1,3,7
7985,17975,2,2,6,7
7991,17975,3,3,0,3
7993,17975,4,4,18,0
7992,17675,3,3,3,7
7988,17675,2,2,0,14
7996,17675,4,4,6,10
7984,17675,1,1,0,3
7997,17980,4,4,7,14
7986,17980,1,1,14,7
7989,17980,2,2,7,3
7994,17980,3,3,3,7
7995,17976,3,3,7,7
7990,17976,2,2,0,7
7987,17976,1,1,3,14
7998,17976,4,4,15,0
7999,17676,1,1,0,7
8000,17676,2,2,0,6
8001,17676,3,3,0,6
8002,17676,4,4,0,0
8003,17954,1,1,7,0
8004,17954,2,2,16,3
8007,17954,3,3,14,0
8009,17954,4,4,0,0
8010,17677,3,3,7,7
8013,17677,4,4,6,7
8005,17677,1,1,0,0
8006,17677,2,2,14,10
8015,17678,3,3,7,8
8011,17678,2,2,10,2
8008,17678,1,1,6,0
8017,17678,4,4,0,6
8018,17959,3,3,3,7
8020,17959,4,4,0,0
8012,17959,1,1,3,3
8014,17959,2,2,6,7
8016,17977,1,1,0,14
8021,17977,3,3,0,3
8022,17977,4,4,0,7
8019,17977,2,2,0,3
8023,17966,1,1,7,0
8024,17966,2,2,10,7
8025,17966,3,3,7,0
8026,17966,4,4,10,7
8027,17679,1,1,7,0
8029,17679,2,2,7,13
8034,17679,4,4,15,6
8031,17679,3,3,0,7
8032,17964,3,3,7,14
8035,17964,4,4,0,0
8030,17964,2,2,3,13
8028,17964,1,1,0,7
8036,17680,2,2,3,7
8037,17680,3,3,13,0
8033,17680,1,1,3,0
8039,17680,4,4,3,13
8040,17681,2,2,3,3
8041,17681,3,3,3,0
8042,17681,4,4,6,7
8038,17681,1,1,7,0
8043,17682,1,1,7,7
8044,17682,2,2,9,14
8045,17682,3,3,10,7
8046,17682,4,4,3,3
8049,17683,1,1,7,3
8058,17683,2,2,8,3
8071,17683,3,3,7,0
8079,17683,4,4,10,0
8075,17684,4,4,17,6
8067,17684,3,3,6,0
8061,17684,2,2,0,7
8053,17684,1,1,0,3
8051,17690,1,1,0,0
8062,17690,2,2,0,16
8070,17690,3,3,8,0
8080,17690,4,4,6,3
8077,17685,4,4,10,3
8083,17685,5,OT,0,3
8069,17685,3,3,7,7
8059,17685,2,2,7,14
8047,17685,1,1,0,0
8052,17686,1,1,7,0
8056,17686,2,2,24,10
8068,17686,3,3,7,7
8078,17686,4,4,3,16
8081,17691,4,4,7,3
8073,17691,3,3,7,7
8063,17691,2,2,7,13
8054,17691,1,1,0,14
8055,17688,1,1,7,3
8057,17688,2,2,14,7
8065,17688,3,3,0,0
8076,17688,4,4,7,6
8082,17687,4,4,0,0
8072,17687,3,3,14,7
8064,17687,2,2,14,6
8050,17687,1,1,10,0
8048,17689,1,1,7,3
8060,17689,2,2,6,6
8066,17689,3,3,0,7
8074,17689,4,4,7,0
8086,17692,1,1,8,3
8098,17692,4,4,7,13
8091,17692,2,2,14,7
8095,17692,3,3,0,10
8094,17693,3,3,7,3
8099,17693,4,4,0,3
8090,17693,2,2,3,10
8084,17693,1,1,7,0
8085,17694,1,1,0,3
8089,17694,2,2,3,14
8097,17694,4,4,0,14
8092,17694,3,3,0,7
8093,17695,3,3,7,0
8096,17695,4,4,10,6
8087,17695,1,1,0,0
8088,17695,2,2,10,7
8100,17696,1,1,0,10
8101,17696,2,2,7,3
8102,17696,3,3,7,14
8103,17696,4,4,0,7
8104,17697,1,1,7,0
8105,17697,2,2,7,10
8106,17697,3,3,3,0
8107,17697,4,4,10,17
8108,17697,5,OT,0,6
8109,17698,1,1,7,0
8110,17698,2,2,3,14
8111,17698,3,3,10,3
8112,17698,4,4,9,13
8113,17706,1,1,0,7
8128,17706,2,2,0,10
8137,17706,3,3,0,0
8145,17706,4,4,7,9
8140,17699,4,4,14,13
8126,17699,2,2,0,0
8132,17699,3,3,3,0
8115,17699,1,1,0,7
8117,17700,1,1,7,7
8124,17700,2,2,7,7
8133,17700,3,3,0,10
8146,17700,4,4,7,7
8143,17701,4,4,10,10
8131,17701,3,3,7,8
8122,17701,2,2,3,6
8119,17701,1,1,7,0
8118,17707,1,1,3,7
8123,17707,2,2,7,0
8138,17707,3,3,10,0
8147,17707,4,4,3,6
8148,17702,4,4,14,0
8139,17702,3,3,7,0
8130,17702,2,2,0,0
8120,17702,1,1,14,0
8121,17703,1,1,10,0
8144,17703,4,4,3,3
8134,17703,3,3,9,0
8127,17703,2,2,3,3
8129,17704,2,2,7,0
8141,17704,4,4,10,8
8114,17704,1,1,0,3
8136,17704,3,3,0,0
8125,17705,2,2,6,7
8116,17705,1,1,3,0
8142,17705,4,4,10,10
8135,17705,3,3,7,0
8161,17708,4,4,3,3
8153,17708,2,2,9,17
8158,17708,3,3,7,7
8149,17708,1,1,14,7
8150,17709,1,1,0,7
8157,17709,3,3,15,7
8154,17709,2,2,10,14
8162,17709,4,4,0,20
8163,17710,4,4,6,3
8156,17710,2,2,0,8
8159,17710,3,3,0,3
8151,17710,1,1,14,3
8152,17711,1,1,3,3
8160,17711,3,3,7,0
8155,17711,2,2,6,21
8164,17711,4,4,14,6
8165,17711,5,OT,3,0
8166,17712,1,1,14,7
8167,17712,2,2,7,10
8168,17712,3,3,14,7
8169,17712,4,4,0,12
8170,17713,1,1,7,7
8171,17713,2,2,10,7
8172,17713,3,3,0,14
8173,17713,4,4,0,7
8174,17714,1,1,7,0
8175,17714,2,2,0,6
8176,17714,3,3,7,0
8177,17714,4,4,10,3
8184,17715,1,1,0,7
8193,17715,2,2,14,20
8204,17715,3,3,0,9
8213,17715,4,4,7,7
8205,17716,4,4,0,13
8190,17716,2,2,0,10
8197,17716,3,3,3,3
8181,17716,1,1,3,0
8183,17717,1,1,0,0
8194,17717,2,2,10,0
8203,17717,3,3,6,7
8212,17717,4,4,3,10
8210,17723,4,4,7,0
8198,17723,3,3,17,6
8189,17723,2,2,0,13
8178,17723,1,1,7,0
8186,17719,1,1,0,0
8187,17719,2,2,14,3
8199,17719,3,3,0,14
8206,17719,4,4,16,7
8201,17720,3,3,7,3
8192,17720,2,2,7,3
8209,17720,4,4,7,7
8185,17720,1,1,7,0
8182,17721,1,1,0,3
8208,17721,4,4,10,8
8202,17721,3,3,0,0
8191,17721,2,2,7,3
8211,17722,4,4,0,3
8200,17722,3,3,10,0
8195,17722,2,2,7,7
8180,17722,1,1,7,0
8196,17718,3,3,3,0
8188,17718,2,2,10,7
8207,17718,4,4,3,11
8179,17718,1,1,0,7
8214,17724,1,1,0,7
8218,17724,2,2,0,10
8222,17724,3,3,0,3
8226,17724,4,4,0,6
8227,17725,4,4,11,6
8223,17725,3,3,0,7
8219,17725,2,2,0,10
8230,17725,5,OT,3,6
8215,17725,1,1,14,2
8216,17726,1,1,0,0
8224,17726,3,3,10,17
8221,17726,2,2,7,14
8229,17726,4,4,7,3
8228,17727,4,4,0,6
8225,17727,3,3,0,3
8220,17727,2,2,7,14
8217,17727,1,1,10,7
8231,17728,1,1,10,0
8232,17728,2,2,7,7
8233,17728,3,3,0,7
8234,17728,4,4,13,14
8235,17729,1,1,7,14
8236,17729,2,2,0,6
8237,17729,3,3,7,7
8238,17729,4,4,7,14
8239,17730,1,1,7,0
8240,17730,2,2,7,0
8241,17730,3,3,0,14
8242,17730,4,4,7,10
8249,17731,1,1,0,3
8254,17731,2,2,13,14
8265,17731,3,3,9,6
8275,17731,4,4,12,7
8266,17732,3,3,0,3
8271,17732,4,4,0,21
8258,17732,2,2,0,9
8251,17732,1,1,0,7
8255,17733,2,2,0,7
8247,17733,1,1,0,7
8262,17733,3,3,7,10
8273,17733,4,4,7,0
8278,17734,4,4,14,3
8260,17734,2,2,7,6
8269,17734,3,3,0,20
8245,17734,1,1,7,7
8248,17735,1,1,0,3
8270,17735,4,4,10,14
8253,17735,2,2,7,0
8264,17735,3,3,10,0
8277,17736,4,4,3,0
8267,17736,3,3,0,0
8252,17736,2,2,11,0
8243,17736,1,1,0,7
8250,17737,1,1,0,0
8256,17737,2,2,7,7
8263,17737,3,3,3,7
8279,17737,5,OT,6,0
8274,17737,4,4,11,7
8282,17738,5,OT,0,3
8261,17738,3,3,0,3
8272,17738,4,4,15,14
8257,17738,2,2,6,7
8244,17738,1,1,3,0
8246,17739,1,1,7,10
8268,17739,3,3,7,3
8259,17739,2,2,14,3
8276,17739,4,4,14,14
8281,17740,1,1,7,10
8286,17740,2,2,17,3
8294,17740,4,4,3,7
8291,17740,3,3,10,0
8289,17741,3,3,14,6
8293,17741,4,4,7,8
8285,17741,2,2,7,0
8280,17741,1,1,0,7
8288,17742,2,2,17,7
8284,17742,1,1,0,0
8295,17742,4,4,6,0
8292,17742,3,3,0,0
8290,17743,3,3,0,10
8296,17743,4,4,7,0
8283,17743,1,1,7,0
8287,17743,2,2,3,17
8297,17744,1,1,3,0
8298,17744,2,2,3,7
8299,17744,3,3,7,0
8300,17744,4,4,6,10
8301,17745,1,1,0,7
8302,17745,2,2,0,14
8303,17745,3,3,14,0
8304,17745,4,4,0,7
8305,17746,1,1,0,0
8306,17746,2,2,3,7
8307,17746,3,3,13,0
8308,17746,4,4,10,10
8309,17747,1,1,0,10
8310,17747,2,2,3,10
8311,17747,3,3,6,0
8312,17747,4,4,11,7
8317,17753,1,1,3,10
8328,17753,2,2,3,5
8330,17753,3,3,7,0
8344,17753,4,4,8,3
8345,17748,5,OT,3,0
8338,17748,4,4,3,8
8333,17748,3,3,3,0
8316,17748,1,1,0,7
8325,17748,2,2,16,7
8319,17755,1,1,0,6
8321,17755,2,2,9,9
8332,17755,3,3,6,7
8341,17755,4,4,10,0
8339,17754,4,4,6,6
8331,17754,3,3,7,0
8324,17754,2,2,17,7
8313,17754,1,1,7,6
8314,17749,1,1,3,3
8322,17749,2,2,3,10
8329,17749,3,3,0,0
8337,17749,4,4,11,6
8334,17750,3,3,0,7
8323,17750,2,2,3,10
8320,17750,1,1,3,7
8342,17750,4,4,13,3
8327,17751,2,2,0,17
8335,17751,3,3,7,0
8340,17751,4,4,0,21
8315,17751,1,1,10,7
8336,17752,3,3,0,3
8326,17752,2,2,13,7
8318,17752,1,1,7,6
8343,17752,4,4,13,6
8350,17757,2,2,17,6
8354,17757,3,3,7,8
8358,17757,4,4,15,26
8346,17757,1,1,3,7
8347,17756,1,1,0,3
8359,17756,4,4,6,6
8355,17756,3,3,0,0
8351,17756,2,2,14,0
8356,17759,3,3,7,0
8353,17759,2,2,0,3
8360,17759,4,4,3,7
8348,17759,1,1,0,7
8349,17758,1,1,0,3
8361,17758,4,4,7,17
8357,17758,3,3,3,10
8352,17758,2,2,10,14
8362,17760,1,1,7,3
8363,17760,2,2,17,10
8364,17760,3,3,7,0
8365,17760,4,4,7,7
8366,17761,1,1,7,0
8367,17761,2,2,3,3
8368,17761,3,3,12,6
8369,17761,4,4,3,16
8370,17761,5,OT,0,6
8371,17762,1,1,14,7
8372,17762,2,2,7,0
8373,17762,3,3,7,7
8374,17762,4,4,0,8
8375,17763,1,1,7,3
8376,17763,2,2,6,7
8377,17763,3,3,0,7
8378,17763,4,4,7,6
8387,17770,2,2,6,10
8384,17770,1,1,0,7
8394,17770,3,3,0,10
8403,17770,4,4,0,7
8410,17769,5,OT,6,0
8392,17769,2,2,6,3
8399,17769,3,3,13,7
8406,17769,4,4,3,11
8379,17769,1,1,6,7
8381,17764,1,1,0,7
8390,17764,2,2,10,0
8396,17764,3,3,7,0
8404,17764,4,4,7,7
8393,17765,3,3,10,0
8400,17765,4,4,14,11
8389,17765,2,2,3,0
8380,17765,1,1,7,0
8388,17766,2,2,3,3
8382,17766,1,1,0,7
8402,17766,4,4,0,7
8395,17766,3,3,0,14
8391,17767,2,2,28,0
8398,17767,3,3,3,0
8401,17767,4,4,7,8
8385,17767,1,1,0,3
8386,17768,2,2,3,10
8383,17768,1,1,7,3
8397,17768,3,3,7,0
8405,17768,4,4,14,0
8414,17771,3,3,7,0
8411,17771,2,2,16,14
8417,17771,4,4,7,0
8407,17771,1,1,7,0
8408,17772,1,1,10,7
8419,17772,4,4,3,14
8412,17772,2,2,7,0
8415,17772,3,3,14,3
8416,17773,3,3,7,0
8413,17773,2,2,3,0
8418,17773,4,4,12,15
8420,17773,5,OT,6,0
8409,17773,1,1,7,14
8421,17774,1,1,0,0
8422,17774,2,2,0,14
8423,17774,3,3,14,3
8424,17774,4,4,6,3
8425,17774,5,OT,0,3
8426,17775,1,1,3,0
8427,17775,2,2,17,17
8428,17775,3,3,11,7
8429,17775,4,4,0,10
8430,17776,1,1,0,10
8431,17776,2,2,0,0
8432,17776,3,3,7,7
8433,17776,4,4,7,0
8436,17782,1,1,3,0
8445,17782,2,2,10,10
8450,17782,3,3,14,7
8456,17782,4,4,14,0
8453,17777,4,4,3,3
8446,17777,3,3,0,7
8437,17777,1,1,7,7
8440,17777,2,2,0,7
8438,17779,1,1,0,7
8447,17779,3,3,7,7
8442,17779,2,2,13,0
8455,17779,4,4,10,14
8444,17780,2,2,7,17
8451,17780,3,3,6,3
8457,17780,4,4,0,20
8439,17780,1,1,0,14
8441,17781,2,2,0,5
8452,17781,4,4,0,13
8435,17781,1,1,3,0
8448,17781,3,3,0,7
8449,17778,3,3,3,0
8443,17778,2,2,0,13
8454,17778,4,4,0,0
8434,17778,1,1,0,14
8458,17784,1,1,10,3
8467,17784,3,3,3,0
8462,17784,2,2,6,14
8471,17784,4,4,0,11
8470,17783,4,4,15,3
8463,17783,2,2,0,17
8466,17783,3,3,0,13
8459,17783,1,1,7,0
8460,17785,1,1,2,0
8468,17785,3,3,0,7
8464,17785,2,2,3,17
8473,17785,4,4,0,7
8465,17786,2,2,3,14
8469,17786,3,3,0,0
8472,17786,4,4,0,3
8461,17786,1,1,0,21
8474,17787,1,1,7,12
8475,17787,2,2,6,0
8476,17787,3,3,7,0
8477,17787,4,4,10,6
8478,17788,1,1,0,7
8479,17788,2,2,10,0
8480,17788,3,3,0,3
8481,17788,4,4,3,0
8482,17789,1,1,0,7
8483,17789,2,2,10,0
8484,17789,3,3,7,7
8485,17789,4,4,7,7
8487,17790,1,1,3,3
8499,17790,2,2,6,7
8508,17790,3,3,3,0
8510,17790,4,4,7,3
8504,17791,3,3,0,7
8515,17791,4,4,8,16
8492,17791,1,1,0,3
8496,17791,2,2,3,0
8497,17792,2,2,6,10
8491,17792,1,1,3,3
8514,17792,4,4,18,6
8506,17792,3,3,6,3
8513,17793,4,4,6,0
8503,17793,3,3,6,7
8488,17793,1,1,0,3
8495,17793,2,2,3,0
8500,17794,2,2,10,0
8493,17794,1,1,7,0
8512,17794,4,4,6,6
8507,17794,3,3,21,0
8511,17797,4,4,0,22
8494,17797,2,2,17,0
8502,17797,3,3,14,0
8486,17797,1,1,7,0
8501,17795,2,2,14,3
8489,17795,1,1,0,14
8509,17795,3,3,7,7
8517,17795,4,4,10,7
8520,17795,5,OT,3,0
8516,17796,4,4,7,17
8505,17796,3,3,7,3
8490,17796,1,1,0,7
8498,17796,2,2,17,7
8518,17798,1,1,7,7
8532,17798,4,4,11,7
8528,17798,3,3,3,3
8523,17798,2,2,6,7
8524,17799,2,2,0,10
8527,17799,3,3,0,7
8531,17799,4,4,7,7
8519,17799,1,1,0,7
8533,17800,4,4,0,7
8525,17800,2,2,3,10
8529,17800,3,3,7,0
8521,17800,1,1,0,0
8522,17801,1,1,7,7
8530,17801,3,3,14,7
8526,17801,2,2,0,9
8534,17801,4,4,6,13
8535,17802,1,1,0,7
8536,17802,2,2,3,3
8537,17802,3,3,10,3
8538,17802,4,4,7,3
8539,17803,1,1,0,7
8540,17803,2,2,10,7
8541,17803,3,3,0,0
8542,17803,4,4,7,6
8543,17804,1,1,7,7
8544,17804,2,2,3,21
8545,17804,3,3,6,14
8546,17804,4,4,14,3
8551,17812,1,1,7,3
8560,17812,2,2,10,7
8568,17812,3,3,7,7
8576,17812,4,4,7,14
8580,17812,5,OT,0,3
8573,17810,4,4,0,0
8563,17810,3,3,10,0
8559,17810,2,2,14,6
8550,17810,1,1,0,0
8554,17805,1,1,7,7
