GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,AwayScore,HomeScore,PointSpread,OverUnder,AwayScoreQuarter1,AwayScoreQuarter2,AwayScoreQuarter3,AwayScoreQuarter4,AwayScoreOvertime,HomeScoreQuarter1,HomeScoreQuarter2,HomeScoreQuarter3,HomeScoreQuarter4,HomeScoreOvertime,StadiumID,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,ScoreID,NeutralVenue,OverPayout,UnderPayout
202120028,2,2021,0,8/5/2021 8:00:00 PM,DAL,PIT,3,16,-2.5,31.5,3,0,0,0,0,0,0,9,7,0,46,64,64,Few Clouds,64,5,130,-150,17660,True,-110,-110
202120121,2,2021,1,8/12/2021 7:30:00 PM,WAS,NE,13,22,-1.5,37.0,0,7,0,6,0,3,3,3,13,0,4,72,73,Light Rain,73,3,112,-133,17661,False,-110,-110
202120126,2,2021,1,8/12/2021 7:30:00 PM,PIT,PHI,24,16,-1.5,36.0,0,7,14,3,0,10,6,0,0,0,18,79,81,Light Rain,81,7,105,-125,17662,False,-110,-110
202120102,2,2021,1,8/13/2021 7:00:00 PM,TEN,ATL,23,3,-2.5,37.0,3,10,3,7,0,0,0,3,0,0,45,79,82,Overcast Clouds,79,2,130,-153,17663,False,-110,-110
202120111,2,2021,1,8/13/2021 7:00:00 PM,BUF,DET,16,15,-1.5,36.5,3,10,0,3,0,3,0,0,12,0,21,69,69,Few Clouds,69,8,117,-138,17958,False,-115,-105
202120101,2,2021,1,8/13/2021 10:00:00 PM,DAL,ARI,16,19,-2.0,37.0,0,6,3,7,0,3,7,3,6,0,29,78,89,Moderate Rain,89,17,120,-140,17968,False,-113,-108
202120106,2,2021,1,8/14/2021 1:00:00 PM,MIA,CHI,13,20,-3.0,36.0,3,10,0,0,0,0,3,14,3,0,20,65,67,Scattered Clouds,65,7,150,-173,17664,False,-115,-105
202120120,2,2021,1,8/14/2021 4:00:00 PM,DEN,MIN,33,6,2.5,34.0,9,17,7,0,0,3,3,0,0,0,42,71,72,Clear Sky,72,10,-155,132,17970,False,-113,-108
202120103,2,2021,1,8/14/2021 7:00:00 PM,NO,BAL,14,17,-1.0,36.0,0,14,0,0,0,0,9,0,8,0,7,72,76,Light Rain,76,6,100,-120,17955,False,-110,-110
202120115,2,2021,1,8/14/2021 7:00:00 PM,CLE,JAX,23,13,-4.0,37.0,3,10,3,7,0,0,0,0,13,0,10,77,79,Light Rain,77,5,167,-200,17965,False,-113,-108
202120123,2,2021,1,8/14/2021 7:30:00 PM,NYJ,NYG,12,7,2.5,33.5,3,0,7,2,0,0,0,0,7,0,3,74,75,Broken Clouds,75,8,-147,125,17979,False,-110,-110
202120133,2,2021,1,8/14/2021 7:30:00 PM,CIN,TB,19,14,-6.0,33.5,0,7,9,3,0,6,0,0,8,0,24,78,80,Broken Clouds,78,9,207,-255,17665,False,-123,102
202120112,2,2021,1,8/14/2021 8:00:00 PM,HOU,GB,26,7,-3.0,35.5,3,10,3,10,0,0,7,0,0,0,22,59,62,Clear Sky,62,9,145,-170,17666,False,-110,-110
202120131,2,2021,1,8/14/2021 8:30:00 PM,KC,SF,19,16,-2.5,38.5,7,0,3,9,0,6,3,0,7,0,37,68,70,Few Clouds,68,1,120,-142,17960,False,-110,-110
202120125,2,2021,1,8/14/2021 9:00:00 PM,SEA,LV,7,20,-2.5,37.0,0,0,7,0,0,7,6,0,7,0,53,95,96,Scattered Clouds,96,10,132,-158,17971,False,-110,-110
202120132,2,2021,1,8/14/2021 10:00:00 PM,LAC,LAR,13,6,3.5,32.0,3,3,7,0,0,0,6,0,0,0,54,71,72,Clear Sky,71,5,-187,157,17961,False,-110,-110
202120114,2,2021,1,8/15/2021 1:00:00 PM,CAR,IND,18,21,-3.0,33.0,3,12,0,3,0,3,7,0,11,0,9,64,69,Overcast Clouds,69,6,135,-158,17972,False,-110,-110
202120226,2,2021,2,8/19/2021 7:30:00 PM,NE,PHI,35,0,-1.0,38.5,13,6,13,3,0,0,0,0,0,0,18,75,76,Broken Clouds,76,4,-105,-115,17667,False,-110,-110
202120201,2,2021,2,8/20/2021 8:00:00 PM,KC,ARI,17,10,3.5,41.0,3,7,7,0,0,0,0,3,7,0,29,92,93,Few Clouds,92,2,-188,162,17668,False,-110,-110
202120235,2,2021,2,8/20/2021 8:00:00 PM,CIN,WAS,13,17,-5.5,35.0,3,0,7,3,0,3,3,3,8,0,19,71,72,Light Rain,72,2,190,-225,17957,False,-110,-110
202120206,2,2021,2,8/21/2021 1:00:00 PM,BUF,CHI,41,15,-4.0,37.0,13,21,7,0,0,0,6,0,9,0,20,73,75,Light Rain,75,9,165,-192,17669,False,-110,-110
202120212,2,2021,2,8/21/2021 4:25:00 PM,NYJ,GB,23,14,2.5,31.0,3,14,6,0,0,7,7,0,0,0,22,62,66,Clear Sky,66,11,-140,117,17670,False,-110,-110
202120205,2,2021,2,8/21/2021 7:00:00 PM,BAL,CAR,20,3,3.5,34.5,0,3,7,10,0,0,3,0,0,0,26,72,73,Light Rain,73,4,-193,167,17956,False,-113,-108
202120219,2,2021,2,8/21/2021 7:00:00 PM,ATL,MIA,17,37,-6.0,35.5,3,0,0,14,0,7,7,16,7,0,2,84,86,Few Clouds,84,10,205,-250,17671,False,-110,-110
202120228,2,2021,2,8/21/2021 7:30:00 PM,DET,PIT,20,26,-7.0,36.5,0,0,0,20,0,14,6,3,3,0,8,67,68,Clear Sky,68,0,242,-295,17672,False,-110,-110
202120233,2,2021,2,8/21/2021 7:30:00 PM,TEN,TB,34,3,-1.0,34.5,7,6,14,7,0,0,3,0,0,0,24,80,81,Overcast Clouds,80,5,-110,-110,17673,False,-110,-110
202120209,2,2021,2,8/21/2021 8:00:00 PM,HOU,DAL,20,14,-3.5,35.5,7,0,7,6,0,7,7,0,0,0,17,86,86,Clear Sky,86,12,147,-173,17969,False,-110,-110
202120220,2,2021,2,8/21/2021 8:00:00 PM,IND,MIN,12,10,-2.0,37.0,3,3,3,3,0,7,3,0,0,0,42,61,62,Clear Sky,61,3,117,-138,17973,False,-110,-110
202120232,2,2021,2,8/21/2021 10:00:00 PM,LV,LAR,17,16,6.5,33.5,7,0,3,7,0,0,10,0,6,0,54,67,67,Clear Sky,67,6,-281,227,17962,False,-110,-110
202120230,2,2021,2,8/21/2021 10:00:00 PM,DEN,SEA,30,3,4.5,37.5,7,10,3,10,0,0,0,3,0,0,31,62,64,Overcast Clouds,64,7,-217,180,17974,False,-115,-105
202120208,2,2021,2,8/22/2021 1:00:00 PM,NYG,CLE,13,17,-6.0,35.0,7,0,0,6,0,7,0,7,3,0,6,74,75,Light Rain,74,3,205,-250,17978,False,-110,-110
202120229,2,2021,2,8/22/2021 7:30:00 PM,SF,LAC,15,10,6.5,34.5,0,8,7,0,0,0,10,0,0,0,54,68,68,Clear Sky,68,6,-276,227,17963,False,-110,-110
202120222,2,2021,2,8/23/2021 8:00:00 PM,JAX,NO,21,23,-4.0,40.0,0,3,0,18,0,14,3,6,0,0,27,81,81,Broken Clouds,81,6,167,-207,17674,False,-110,-110
202120311,2,2021,3,8/27/2021 7:00:00 PM,IND,DET,27,17,1.5,33.5,3,6,0,18,0,7,7,3,0,0,21,75,76,Few Clouds,76,3,-120,100,17975,False,-110,-110
202120305,2,2021,3,8/27/2021 7:30:00 PM,PIT,CAR,9,34,-4.0,35.5,0,0,3,6,0,3,14,7,10,0,26,75,76,Clear Sky,75,5,160,-190,17675,False,-110,-110
202120324,2,2021,3,8/27/2021 7:30:00 PM,PHI,NYJ,31,31,-4.5,33.5,14,7,3,7,0,7,3,7,14,0,3,76,77,Light Rain,77,6,167,-198,17980,False,-113,-108
202120316,2,2021,3,8/27/2021 8:00:00 PM,MIN,KC,25,28,-4.5,38.0,3,0,7,15,0,14,7,7,0,0,15,78,79,Clear Sky,79,10,175,-215,17976,False,-110,-110
202120304,2,2021,3,8/28/2021 1:00:00 PM,GB,BUF,0,19,-7.5,37.5,0,0,0,0,0,7,6,6,0,0,1,71,73,Few Clouds,73,7,280,-358,17676,False,-110,-110
,2,2021,3,8/28/2021 1:00:00 PM,ARI,NO,,,,,,,,,,,,,,,27,81,82,Light Rain,82,18,,,17967,False,,
202120335,2,2021,3,8/28/2021 6:00:00 PM,BAL,WAS,37,3,3.5,33.0,7,16,14,0,0,0,3,0,0,0,19,73,74,Light Rain,74,4,-215,175,17954,False,-113,-108
202120334,2,2021,3,8/28/2021 7:00:00 PM,CHI,TEN,27,24,3.0,36.5,0,14,7,6,0,0,10,7,7,0,12,75,76,Few Clouds,75,4,-163,137,17677,False,-110,-110
202120313,2,2021,3,8/28/2021 8:00:00 PM,TB,HOU,23,16,4.0,36.5,6,10,7,0,0,0,2,8,6,0,11,79,79,Light Rain,79,3,-200,170,17678,False,-110,-110
202120310,2,2021,3,8/28/2021 9:05:00 PM,LAR,DEN,12,17,-9.5,33.5,3,6,3,0,0,3,7,7,0,0,13,68,72,Light Rain,72,12,330,-435,17959,False,-110,-110
202120330,2,2021,3,8/28/2021 10:00:00 PM,LAC,SEA,0,27,-6.0,35.5,0,0,0,0,0,14,3,3,7,0,31,59,63,Few Clouds,63,5,215,-267,17977,False,-110,-110
202120309,2,2021,3,8/29/2021 1:00:00 PM,JAX,DAL,34,14,4.0,36.0,7,10,7,10,0,0,7,0,7,0,17,81,84,Few Clouds,81,4,-200,167,17966,False,-110,-110
202120307,2,2021,3,8/29/2021 4:00:00 PM,MIA,CIN,29,26,-2.0,36.0,7,7,0,15,0,0,13,7,6,0,5,74,77,Light Rain,77,4,110,-130,17679,False,-110,-110
202120331,2,2021,3,8/29/2021 4:00:00 PM,LV,SF,10,34,-5.5,35.5,0,3,7,0,0,7,13,14,0,0,37,70,72,Few Clouds,70,2,187,-233,17964,False,-110,-110
202120323,2,2021,3,8/29/2021 6:00:00 PM,NE,NYG,22,20,3.5,35.5,3,3,13,3,0,0,7,0,13,0,3,73,73,Broken Clouds,73,3,-178,152,17680,False,-110,-110
202120302,2,2021,3,8/29/2021 8:00:00 PM,CLE,ATL,19,10,6.0,36.0,7,3,3,6,0,0,3,0,7,0,45,77,79,Scattered Clouds,77,3,-260,212,17681,False,-110,-110
202110133,1,2021,1,9/9/2021 8:20:00 PM,DAL,TB,29,31,-9.0,52.5,7,9,10,3,0,7,14,7,3,0,24,79,82,Broken Clouds,79,9,341,-439,17682,False,-109,-113
202110102,1,2021,1,9/12/2021 1:00:00 PM,PHI,ATL,32,6,-3.5,48.5,7,8,7,10,0,3,3,0,0,0,45,70,73,Clear Sky,70,3,148,-178,17683,False,-112,-109
202110104,1,2021,1,9/12/2021 1:00:00 PM,PIT,BUF,23,16,-6.5,48.0,0,0,6,17,0,3,7,0,6,0,1,58,65,Light Rain,65,6,231,-282,17684,False,-109,-113
202110105,1,2021,1,9/12/2021 1:00:00 PM,NYJ,CAR,14,19,-4.0,45.0,0,0,8,6,0,0,16,0,3,0,26,68,69,Clear Sky,69,5,156,-188,17690,False,-108,-114
