SeasonType,Season,Conference,Division,Team,Name,Wins,Losses,Ties,Percentage,PointsFor,PointsAgainst,NetPoints,Touchdowns,DivisionWins,DivisionLosses,ConferenceWins,ConferenceLosses,TeamID,DivisionTies,ConferenceTies,DivisionRank,ConferenceRank
1,2021,AFC,East,BUF,Buffalo Bills,11,6,0,0.647,483,289,194,57,5,1,7,5,4,0,0,1,3
1,2021,AFC,East,NE,New England Patriots,10,7,0,0.588,462,303,159,51,3,3,8,4,21,0,0,2,6
1,2021,AFC,East,MIA,Miami Dolphins,9,8,0,0.529,341,373,-32,39,4,2,6,6,19,0,0,3,9
1,2021,AFC,East,NYJ,New York Jets,4,13,0,0.235,310,504,-194,36,0,6,4,8,24,0,0,4,14
1,2021,AFC,North,CIN,Cincinnati Bengals,10,7,0,0.588,460,376,84,54,4,2,8,4,7,0,0,1,4
1,2021,AFC,North,PIT,Pittsburgh Steelers,9,7,1,0.559,343,398,-55,34,4,2,7,5,28,0,0,2,7
1,2021,AFC,North,BAL,Baltimore Ravens,8,9,0,0.471,387,392,-5,41,1,5,5,7,3,0,0,4,12
1,2021,AFC,North,CLE,Cleveland Browns,8,9,0,0.471,349,371,-22,43,3,3,5,7,8,0,0,3,11
1,2021,AFC,South,TEN,Tennessee Titans,12,5,0,0.706,419,354,65,49,5,1,8,4,34,0,0,1,1
1,2021,AFC,South,IND,Indianapolis Colts,9,8,0,0.529,451,365,86,52,3,3,7,5,14,0,0,2,8
1,2021,AFC,South,HOU,Houston Texans,4,13,0,0.235,280,452,-172,31,3,3,4,8,13,0,0,3,15
1,2021,AFC,South,JAX,Jacksonville Jaguars,3,14,0,0.177,253,457,-204,29,1,5,3,9,15,0,0,4,16
1,2021,AFC,West,KC,Kansas City Chiefs,12,5,0,0.706,480,364,116,57,5,1,7,5,16,0,0,1,2
1,2021,AFC,West,LV,Las Vegas Raiders,10,7,0,0.588,374,439,-65,37,3,3,8,4,25,0,0,2,5
1,2021,AFC,West,LAC,Los Angeles Chargers,9,8,0,0.529,474,459,15,58,3,3,6,6,29,0,0,3,10
1,2021,AFC,West,DEN,Denver Broncos,7,10,0,0.412,335,322,13,37,1,5,3,9,10,0,0,4,13
1,2021,NFC,East,DAL,Dallas Cowboys,12,5,0,0.706,530,358,172,64,6,0,10,2,9,0,0,1,3
1,2021,NFC,East,PHI,Philadelphia Eagles,9,8,0,0.529,444,385,59,50,3,3,7,5,26,0,0,2,7
1,2021,NFC,East,WAS,Washington Commanders,7,10,0,0.412,335,434,-99,38,2,4,6,6,35,0,0,3,10
1,2021,NFC,East,NYG,New York Giants,4,13,0,0.235,258,416,-158,24,1,5,3,9,23,0,0,4,15
1,2021,NFC,North,GB,Green Bay Packers,13,4,0,0.765,450,371,79,54,4,2,9,3,12,0,0,1,1
1,2021,NFC,North,MIN,Minnesota Vikings,8,9,0,0.471,425,426,-1,48,4,2,6,6,20,0,0,2,9
1,2021,NFC,North,CHI,Chicago Bears,6,11,0,0.353,311,407,-96,33,2,4,4,8,6,0,0,3,13
1,2021,NFC,North,DET,Detroit Lions,3,13,1,0.206,325,467,-142,35,2,4,3,9,11,0,0,4,16
1,2021,NFC,South,TB,Tampa Bay Buccaneers,13,4,0,0.765,511,353,158,63,4,2,8,4,33,0,0,1,2
1,2021,NFC,South,NO,New Orleans Saints,9,8,0,0.529,364,335,29,43,4,2,7,5,22,0,0,2,8
1,2021,NFC,South,ATL,Atlanta Falcons,7,10,0,0.412,313,459,-146,33,2,4,4,8,2,0,0,3,12
1,2021,NFC,South,CAR,Carolina Panthers,5,12,0,0.294,304,404,-100,32,2,4,3,9,5,0,0,4,14
1,2021,NFC,West,LAR,Los Angeles Rams,12,5,0,0.706,460,372,88,52,3,3,8,4,32,0,0,1,4
1,2021,NFC,West,ARI,Arizona Cardinals,11,6,0,0.647,449,366,83,52,4,2,7,5,1,0,0,2,5
1,2021,NFC,West,SF,San Francisco 49ers,10,7,0,0.588,427,365,62,50,2,4,7,5,31,0,0,3,6
1,2021,NFC,West,SEA,Seattle Seahawks,7,10,0,0.412,395,366,29,49,3,3,4,8,30,0,0,4,11
2,2021,AFC,East,NE,New England Patriots,3,0,0,1.000,79,33,46,9,0,0,0,0,21,0,0,,
2,2021,AFC,East,BUF,Buffalo Bills,3,0,0,1.000,76,30,46,9,0,0,0,0,4,0,0,,
2,2021,AFC,East,NYJ,New York Jets,2,0,1,0.833,66,52,14,7,0,0,0,0,24,0,0,,
2,2021,AFC,East,MIA,Miami Dolphins,2,1,0,0.667,79,63,16,10,0,0,1,0,19,0,0,,
2,2021,AFC,North,BAL,Baltimore Ravens,3,0,0,1.000,74,20,54,8,0,0,0,0,3,0,0,,
2,2021,AFC,North,CLE,Cleveland Browns,3,0,0,1.000,59,36,23,6,0,0,1,0,8,0,0,,
2,2021,AFC,North,PIT,Pittsburgh Steelers,3,1,0,0.750,75,73,2,8,0,0,0,0,28,0,0,,
2,2021,AFC,North,CIN,Cincinnati Bengals,1,2,0,0.333,58,60,-2,5,0,0,0,1,7,0,0,,
2,2021,AFC,South,IND,Indianapolis Colts,3,0,0,1.000,60,45,15,4,0,0,0,0,14,0,0,,
2,2021,AFC,South,HOU,Houston Texans,2,1,0,0.667,62,44,18,6,0,0,0,0,13,0,0,,
2,2021,AFC,South,TEN,Tennessee Titans,2,1,0,0.667,81,33,48,9,0,0,0,0,34,0,0,,
2,2021,AFC,South,JAX,Jacksonville Jaguars,1,2,0,0.333,68,60,8,8,0,0,0,1,15,0,0,,
2,2021,AFC,West,KC,Kansas City Chiefs,3,0,0,1.000,64,51,13,8,0,0,0,0,16,0,0,,
2,2021,AFC,West,DEN,Denver Broncos,3,0,0,1.000,80,21,59,10,0,0,0,0,10,0,0,,
2,2021,AFC,West,LV,Las Vegas Raiders,2,1,0,0.667,47,57,-10,5,0,0,0,0,25,0,0,,
2,2021,AFC,West,LAC,Los Angeles Chargers,1,2,0,0.333,23,48,-25,2,0,0,0,0,29,0,0,,
2,2021,NFC,East,WAS,Washington Commanders,1,2,0,0.333,33,72,-39,3,0,0,0,0,35,0,0,,
2,2021,NFC,East,PHI,Philadelphia Eagles,0,2,1,0.167,47,90,-43,5,0,0,0,0,26,0,0,,
2,2021,NFC,East,NYG,New York Giants,0,3,0,0.000,40,51,-11,6,0,0,0,0,23,0,0,,
2,2021,NFC,East,DAL,Dallas Cowboys,0,4,0,0.000,47,89,-42,5,0,0,0,1,9,0,0,,
2,2021,NFC,North,CHI,Chicago Bears,2,1,0,0.667,62,78,-16,8,0,0,0,0,6,0,0,,
2,2021,NFC,North,DET,Detroit Lions,0,3,0,0.000,52,69,-17,6,0,0,0,0,11,0,0,,
2,2021,NFC,North,GB,Green Bay Packers,0,3,0,0.000,21,68,-47,3,0,0,0,0,12,0,0,,
2,2021,NFC,North,MIN,Minnesota Vikings,0,3,0,0.000,41,73,-32,4,0,0,0,0,20,0,0,,
2,2021,NFC,South,NO,New Orleans Saints,1,1,0,0.500,37,38,-1,5,0,0,0,0,22,0,0,,
2,2021,NFC,South,CAR,Carolina Panthers,1,2,0,0.333,55,50,5,5,0,0,0,0,5,0,0,,
2,2021,NFC,South,TB,Tampa Bay Buccaneers,1,2,0,0.333,40,69,-29,5,0,0,0,0,33,0,0,,
2,2021,NFC,South,ATL,Atlanta Falcons,0,3,0,0.000,30,79,-49,3,0,0,0,0,2,0,0,,
2,2021,NFC,West,SF,San Francisco 49ers,2,1,0,0.667,65,39,26,8,0,0,0,0,31,0,0,,
2,2021,NFC,West,ARI,Arizona Cardinals,1,1,0,0.500,29,33,-4,2,0,0,1,0,1,0,0,,
2,2021,NFC,West,SEA,Seattle Seahawks,1,2,0,0.333,37,50,-13,4,0,0,0,0,30,0,0,,
2,2021,NFC,West,LAR,Los Angeles Rams,0,3,0,0.000,34,47,-13,3,0,0,0,0,32,0,0,,
3,2021,AFC,East,BUF,Buffalo Bills,1,1,0,0.500,83,59,24,12,1,0,1,1,4,0,0,,
3,2021,AFC,East,NE,New England Patriots,0,1,0,0.000,17,47,-30,2,0,1,0,1,21,0,0,,
3,2021,AFC,North,CIN,Cincinnati Bengals,3,1,0,0.750,92,82,10,7,0,0,3,0,7,0,0,,
