Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamID,OpponentID,ScoreID
8/5/2021 8:00:00 PM,2,2021,0,DAL,PIT,AWAY,3,16,19,Tom Benson Hall of Fame Stadium,3,0,0,0,0,30,12,30:12,19,4,13,2,68,347,5.1,0,21,109,5.2,0,43,24,238,0,1,5.5,9.9,55.8,61.97,17,7,41.2,3,1,33.3,2,0,0,0,4,30,2,2,4,25,3,4,3,151,50.3,3,1,-2,0,0,9,7,0,29,48,29:48,15,6,9,0,59,250,4.2,2,30,76,2.5,1,28,18,174,1,0,6.2,9.7,64.3,93.45,13,5,38.5,2,1,50.0,3,2,0,0,3,43,1,1,1,1,9,5,4,183,45.8,1,3,2,0,0,66.7,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,2,1,40,11,0,1,1,1,1,47,14,4,25,7,3,2,Thursday,9,28,17660
8/5/2021 8:00:00 PM,2,2021,0,PIT,DAL,HOME,16,3,19,Tom Benson Hall of Fame Stadium,0,0,9,7,0,29,48,29:48,15,6,9,0,59,250,4.2,2,30,76,2.5,1,28,18,174,1,0,6.2,9.7,64.3,93.45,13,5,38.5,2,1,50.0,3,2,0,0,3,43,1,1,1,1,9,5,4,183,45.8,1,3,2,3,0,0,0,0,30,12,30:12,19,4,13,2,68,347,5.1,0,21,109,5.2,0,43,24,238,0,1,5.5,9.9,55.8,61.97,17,7,41.2,3,1,33.3,2,0,0,0,4,30,2,2,4,25,3,4,3,151,50.3,3,1,-2,66.7,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,1,47,14,4,25,7,3,2,40,11,0,1,1,1,1,Thursday,28,9,17660
8/12/2021 7:30:00 PM,2,2021,1,WAS,NE,AWAY,13,22,35,Gillette Stadium,0,7,0,6,0,34,57,34:57,24,7,17,0,80,367,4.6,2,31,122,3.9,1,47,31,245,1,1,5.2,7.9,66.0,76.99,20,12,60.0,0,0,0,2,2,0,0,3,21,0,0,2,7,5,0,5,224,44.8,1,0,-1,3,3,3,13,0,25,3,25:03,16,6,9,1,56,320,5.7,2,25,179,7.2,2,30,19,141,0,0,4.7,7.4,63.3,74.44,12,4,33.3,0,0,0,2,1,0,0,9,58,0,0,1,9,4,4,5,270,54,0,1,1,100,0,50.0,0,1,1,0,2,0,0,0,2,0,2,1,0,0,0,0,0,3,3,41,22,1,9,0,0,0,65,18,2,7,6,0,0,Thursday,35,21,17661
8/12/2021 7:30:00 PM,2,2021,1,NE,WAS,HOME,22,13,35,Gillette Stadium,3,3,3,13,0,25,3,25:03,16,6,9,1,56,320,5.7,2,25,179,7.2,2,30,19,141,0,0,4.7,7.4,63.3,74.44,12,4,33.3,0,0,0,2,1,0,0,9,58,0,0,1,9,4,4,5,270,54,0,1,1,0,7,0,6,0,34,57,34:57,24,7,17,0,80,367,4.6,2,31,122,3.9,1,47,31,245,1,1,5.2,7.9,66.0,76.99,20,12,60.0,0,0,0,2,2,0,0,3,21,0,0,2,7,5,0,5,224,44.8,1,0,-1,50.0,0,100,0,2,1,0,0,0,0,0,3,3,1,1,0,2,0,0,0,2,0,65,18,2,7,6,0,0,41,22,1,9,0,0,0,Thursday,21,35,17661
8/12/2021 7:30:00 PM,2,2021,1,PIT,PHI,AWAY,24,16,40,Lincoln Financial Field,0,7,14,3,0,41,18,41:18,28,11,15,2,80,410,5.1,3,42,152,3.6,2,37,29,258,1,1,7.0,8.9,78.4,93.47,17,11,64.7,0,0,0,4,2,0,0,5,36,0,0,1,10,6,2,4,176,44,1,2,1,10,6,0,0,0,18,42,18:42,10,0,10,0,42,277,6.6,1,11,52,4.7,0,29,14,225,1,2,7.8,16.1,48.3,57.40,8,0,0,0,0,0,0,0,0,0,7,60,0,0,2,11,2,6,4,223,55.8,2,1,-1,50.0,0,0,0,3,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,3,29,8,2,11,3,0,0,60,25,1,10,3,0,0,Thursday,28,26,17662
8/12/2021 7:30:00 PM,2,2021,1,PHI,PIT,HOME,16,24,40,Lincoln Financial Field,10,6,0,0,0,18,42,18:42,10,0,10,0,42,277,6.6,1,11,52,4.7,0,29,14,225,1,2,7.8,16.1,48.3,57.40,8,0,0,0,0,0,0,0,0,0,7,60,0,0,2,11,2,6,4,223,55.8,2,1,-1,0,7,14,3,0,41,18,41:18,28,11,15,2,80,410,5.1,3,42,152,3.6,2,37,29,258,1,1,7.0,8.9,78.4,93.47,17,11,64.7,0,0,0,4,2,0,0,5,36,0,0,1,10,6,2,4,176,44,1,2,1,0,0,50.0,0,1,1,0,0,0,0,0,3,3,3,3,0,0,0,0,0,1,1,60,25,1,10,3,0,0,29,8,2,11,3,0,0,Thursday,26,28,17662
8/13/2021 7:00:00 PM,2,2021,1,BUF,DET,AWAY,16,15,31,Ford Field,3,10,0,3,0,29,58,29:58,16,8,7,1,62,259,4.2,1,29,114,3.9,0,31,20,145,1,0,4.7,7.2,64.5,86.09,14,4,28.6,2,2,100,2,1,0,0,9,112,0,0,2,20,6,7,5,221,44.2,0,0,0,3,0,0,12,0,30,2,30:02,19,7,6,6,60,248,4.1,1,26,107,4.1,1,30,20,141,0,0,4.7,7.0,66.7,77.22,13,5,38.5,2,1,50.0,3,0,0,0,5,59,0,0,4,29,3,3,3,157,52.3,0,0,0,50.0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,0,2,0,0,0,3,3,45,19,4,29,4,0,0,49,19,2,20,1,1,1,Friday,4,11,17958
8/13/2021 7:00:00 PM,2,2021,1,DET,BUF,HOME,15,16,31,Ford Field,3,0,0,12,0,30,2,30:02,19,7,6,6,60,248,4.1,1,26,107,4.1,1,30,20,141,0,0,4.7,7.0,66.7,77.22,13,5,38.5,2,1,50.0,3,0,0,0,5,59,0,0,4,29,3,3,3,157,52.3,0,0,0,3,10,0,3,0,29,58,29:58,16,8,7,1,62,259,4.2,1,29,114,3.9,0,31,20,145,1,0,4.7,7.2,64.5,86.09,14,4,28.6,2,2,100,2,1,0,0,9,112,0,0,2,20,6,7,5,221,44.2,0,0,0,0,0,50.0,0,0,0,0,2,0,0,0,3,3,1,1,0,0,0,0,0,3,3,49,19,2,20,1,1,1,45,19,4,29,4,0,0,Friday,11,4,17958
8/13/2021 7:00:00 PM,2,2021,1,TEN,ATL,AWAY,23,3,26,Mercedes-Benz Stadium,3,10,3,7,0,36,33,36:33,17,6,8,3,64,244,3.8,2,37,138,3.7,0,23,15,106,2,0,4.6,7.1,65.2,104.62,13,3,23.1,1,1,100,3,2,0,0,9,69,0,0,4,32,9,5,7,336,48,0,1,1,0,0,3,0,0,23,27,23:27,6,4,0,2,46,138,3,0,20,117,5.8,0,21,7,21,0,1,1,3,33.3,22.52,12,2,16.7,1,0,0,0,0,0,0,11,99,0,0,5,31,7,6,6,324,54,1,0,-1,66.7,0,0,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,1,33,21,5,31,4,0,0,48,26,4,32,2,0,0,Friday,34,2,17663
8/13/2021 7:00:00 PM,2,2021,1,ATL,TEN,HOME,3,23,26,Mercedes-Benz Stadium,0,0,3,0,0,23,27,23:27,6,4,0,2,46,138,3,0,20,117,5.8,0,21,7,21,0,1,1,3,33.3,22.52,12,2,16.7,1,0,0,0,0,0,0,11,99,0,0,5,31,7,6,6,324,54,1,0,-1,3,10,3,7,0,36,33,36:33,17,6,8,3,64,244,3.8,2,37,138,3.7,0,23,15,106,2,0,4.6,7.1,65.2,104.62,13,3,23.1,1,1,100,3,2,0,0,9,69,0,0,4,32,9,5,7,336,48,0,1,1,0,0,66.7,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,3,3,48,26,4,32,2,0,0,33,21,5,31,4,0,0,Friday,2,34,17663
