SeasonType,Season,Team,Score,OpponentScore,TotalScore,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,Games,TeamID
5,2021,AFC,41,35,76,14,14,13,0,0,,19,6,13,0,63,315,5,6,21,52,2.5,1,38,25,263,3,3,6.9,10.5,65.8,79.17,11,5,45.5,9,2,22.2,5,4,0,0,2,10,0,0,4,15,2,5,0,0,0,3,5,2,13,8,0,14,0,,18,3,14,1,65,287,4.4,5,8,1,0.1,0,54,33,286,4,4,5.3,8.7,61.1,68.90,12,4,33.3,11,3,27.3,6,4,0,0,0,0,1,1,3,17,4,4,0,0,0,5,3,-2,80.0,0,66.7,0,3,3,0,4,1,0,0,0,0,3,3,0,4,1,0,0,0,0,34,15,3,17,16,1,1,33,24,4,15,6,1,1,1,36
3,2021,ARI,11,34,45,0,0,8,3,0,24:14,14,6,7,1,54,183,3.4,1,18,61,3.4,1,34,19,122,0,2,3.6,6.4,55.9,39.09,9,0,0,2,1,50.0,1,1,0,0,7,50,0,0,2,15,3,7,5,241,48.2,2,0,-2,7,14,7,6,0,35:46,16,4,11,1,57,375,6.6,4,38,140,3.7,1,18,14,235,2,0,13.1,16.8,77.8,155.79,13,6,46.2,0,0,0,4,3,0,0,6,48,0,0,1,7,5,3,5,198,39.6,0,2,2,100,0,75.0,0,0,0,0,2,1,0,0,1,1,4,4,0,0,0,0,0,2,2,41,35,1,7,0,0,0,30,18,2,15,6,0,0,1,1
1,2021,ARI,449,366,815,106,123,128,92,0,31:15,367,127,214,26,1126,6352,5.6,52,496,2076,4.2,23,591,415,4276,27,11,7.2,10.3,70.2,98.22,221,100,45.2,29,17,58.6,65,39,0,0,114,990,4,4,39,343,100,76,52,2540,48.8,15,27,12,60,133,87,86,0,29:45,336,109,192,35,1028,5597,5.4,42,426,1952,4.6,10,561,367,3645,30,13,6.5,9.9,65.4,91.84,207,79,38.2,30,14,46.7,51,31,0,0,100,896,14,14,41,227,65,76,58,2714,46.8,27,15,-12,60.0,0,60.8,0,49,47,0,5,0,0,0,37,30,39,35,0,6,3,0,0,28,23,703,359,40,227,73,21,15,779,391,39,343,61,7,6,17,1
2,2021,ARI,29,33,62,3,7,6,13,0,25:10,34,15,14,5,115,564,4.9,2,47,248,5.3,1,59,37,316,1,1,5.4,8.5,62.7,75.25,25,11,44.0,1,1,100,5,1,0,0,7,48,1,1,9,49,2,4,9,436,48.4,2,3,1,3,13,10,7,0,35:50,49,18,29,2,149,781,5.2,3,62,249,4.0,0,87,52,532,3,2,6.1,10.2,59.8,79.29,31,14,45.2,6,5,83.3,9,3,0,0,14,90,1,1,0,0,14,15,5,208,41.6,3,2,-1,20.0,0,33.3,0,2,2,0,0,0,0,0,5,5,3,3,0,0,0,0,0,4,4,89,52,0,0,9,1,1,94,22,9,49,10,1,1,2,1
2,2021,ATL,30,79,109,3,3,3,21,0,24:52,34,18,13,3,150,632,4.2,3,75,384,5.1,2,62,28,248,1,2,4,8.9,45.2,48.32,33,8,24.2,8,3,37.5,5,2,0,0,19,204,2,2,13,77,13,9,11,569,51.7,4,2,-2,17,20,22,20,0,36:08,71,19,46,6,207,1109,5.4,9,95,345,3.6,2,107,70,764,7,2,7.1,10.9,65.4,100.37,34,15,44.1,5,2,40.0,15,8,0,0,16,133,0,0,5,35,20,16,9,415,46.1,2,4,2,40.0,0,53.3,0,3,3,0,0,0,0,0,4,3,9,8,0,0,0,0,0,7,5,126,112,6,35,13,0,1,98,73,13,77,9,3,1,3,2
1,2021,ATL,313,459,772,54,131,58,70,0,28:10,306,75,196,35,1006,5164,5.1,33,393,1451,3.7,11,573,377,3713,20,15,6.5,9.8,65.8,84.64,211,82,38.9,24,10,41.7,54,29,0,0,92,753,11,11,40,274,58,58,65,2998,46.1,26,20,-6,84,134,96,145,0,32:50,383,143,214,26,1114,6194,5.6,55,519,2242,4.3,19,577,391,3952,31,12,6.8,10.1,67.8,96.34,217,105,48.4,22,11,50.0,69,44,0,0,118,956,8,8,18,152,131,66,53,2485,46.9,20,26,6,53.7,0,63.8,0,30,30,0,3,0,1,1,29,27,45,39,0,12,3,3,3,28,26,727,482,17,148,77,14,8,645,451,40,274,84,18,13,17,2
1,2021,BAL,387,392,779,51,119,72,136,9,33:17,394,159,209,26,1185,6440,5.4,41,517,2479,4.8,19,611,396,3961,21,18,6.5,10.0,64.8,82.29,225,82,36.4,27,18,66.7,56,34,0,0,102,852,8,8,57,306,96,76,71,3149,44.4,26,15,-11,54,121,81,127,9,28:25,340,81,232,27,1033,6178,6.0,48,378,1436,3.8,13,621,397,4742,31,9,7.6,11.9,63.9,97.78,201,70,34.8,18,11,61.1,50,27,0,0,98,882,6,6,34,244,108,87,83,3788,45.6,15,26,11,60.7,0,54.0,0,32,32,0,14,2,0,0,37,35,42,39,0,10,1,0,0,28,21,681,369,33,233,72,8,6,830,361,57,306,68,15,8,17,3
2,2021,BAL,74,20,94,7,28,21,18,0,38:00,78,34,40,4,227,1154,5.1,8,118,499,4.2,4,105,74,655,4,2,6.2,8.9,70.5,91.57,47,26,55.3,2,1,50.0,10,5,0,0,13,100,2,2,4,11,15,7,10,496,49.6,4,6,2,0,20,0,0,0,22:00,37,6,29,2,150,728,4.9,2,49,172,3.5,1,96,52,556,1,3,5.8,10.7,54.2,61.81,33,8,24.2,1,0,0,5,2,0,0,17,118,3,3,5,43,11,12,18,811,45.1,6,4,-2,50.0,0,40.0,0,6,6,1,0,0,1,1,7,6,2,2,0,0,0,0,0,4,2,88,60,5,43,14,4,3,160,84,4,11,11,3,2,3,3
2,2021,BUF,76,30,106,23,37,13,3,0,31:33,64,24,38,2,199,951,4.8,9,71,270,3.8,4,120,80,681,4,0,5.7,8.5,66.7,92.40,40,17,42.5,6,5,83.3,9,7,0,0,17,170,2,2,8,59,24,16,11,467,42.5,2,3,1,3,6,0,21,0,29:27,51,17,25,9,176,858,4.9,3,71,311,4.4,2,95,59,547,1,2,5.8,9.3,62.1,72.57,34,8,23.5,10,3,30.0,8,1,0,0,18,152,1,1,10,59,15,10,10,532,53.2,3,2,-1,77.8,0,12.5,0,5,5,0,6,1,0,0,5,5,1,0,1,4,0,0,0,5,4,127,60,10,59,15,1,1,138,50,8,60,10,2,3,3,4
3,2021,BUF,83,59,142,21,20,13,29,0,30:31,52,23,27,2,117,904,7.7,12,53,283,5.3,3,62,48,621,9,0,10.0,12.9,77.4,147.92,21,12,57.1,4,4,100,9,9,0,0,6,62,0,0,2,16,9,8,4,175,43.8,0,2,2,7,10,16,20,6,33:36,50,12,34,4,134,857,6.4,7,47,271,5.8,2,82,57,586,5,2,7.1,10.3,69.5,99.95,27,15,55.6,5,5,100,7,5,0,0,6,44,0,0,5,24,3,4,5,230,46,2,0,-2,100,0,71.4,0,11,9,2,2,1,0,0,0,0,6,5,0,0,0,0,0,5,4,94,49,5,24,4,1,0,77,44,2,16,4,1,0,2,4
